name,ranked,score,popularity,favorite,published,description,serialization,reading,completed,dropped,plan_to_read,genre
Kingdom,11,9.0,52,14702,2006,war state period china xin piao two brother like youngster dream becom great gener despit low statu orphan slave one day encount man nobil give piao opportun undertak import duti within state qin royal palac part way xin piao promis one day becom greatest gener world howev fierc coup tat occur palac xin meet die piao whose last word spur action lead encount young soon king qin zheng ying although initi bad term xin zheng becom comrad start path fill trial bloodsh zheng object bring war state qin xin seek climb top armi rank backdrop constant tactic battl state great polit unrest outsid within palac two endeavor toward monument ambit chang histori forev,225,78558,5737,3146,67358,3.0
Houseki no Kuni,12,8.96,94,13721,2012,long ago earth struck six meteorit creat six moon leav lone island wake could make island sank bottom ocean time slowli turn crystal countless millennium pas 28 crystal lifeform known lustrou rose depth resid island led wise kongou sensei must defend seemingli infinit number lunarian inhabit moon seek harvest valuabl bodi craft weapon jewelri houseki kuni center around phosphophyllit young gem turn three hundr year old clumsi extrem fragil visibl talent one weakest gem around unabl help fight lunarian meaning way battl otherworldli invad rage soon learn power come cost one pay,2,52869,6925,1819,55160,13.0
20th Century Boys,13,8.95,28,19290,1999,20th centuri approach end peopl world anxiou world chang probabl better kenji endo normal conveni store manag tri get learn one old friend go name donkey suddenli commit suicid new cult led figur known friend becom notori kenji start feel someth right key clue left behind deceas friend kenji realiz cult much ever thought would mysteri organ directli target childhood friend whole world also face grave danger friend key stop kenji simpl life bare make end meet flip upsid reunit childhood friend togeth must figur truth past connect cult turn centuri could mean possibl end world,20,34524,85896,2711,114716,3.0
Real,14,8.94,167,3686,1999,tomomi nomiya former captain high school basketbal team turn delinqu decid drop school crush guilt ruin young girl life traffic accid dedic free time help stumbl upon kiyoharu togawa former sprinter lost use right leg play wheelchair basketbal altern outlet challeng kiyoharu one one game tomomi complet defeat inspir encount realiz let love basketbal die easili decid help other strive becom profession player meanwhil hisanobu takahashi tomomi replac high school team captain get accid find perman paralyz waist real tell touch tale three young men struggl overcom disabl inner conflict order achiev dream ignit passion bring togeth,225,23424,4123,1057,49971,5.0
Ashita no Joe,15,8.94,308,4145,1968,joe yabuki learn toughen stop trust other troubl youth spent bounc orphanag fend bulli final escap cycl violent temporari home joe adopt delinqu lifestyl street san ya slum tokyo make way world fist pick fight anyon plea danpei tang wash alcohol former box coach notic joe animalist combat abil attempt mentor wild teenag despit develop explos relationship two form close bond reli look homeless child san ya unabl abandon destruct habit joe arrest petti crime jail meet fight lifelong friend rival includ box prodigi tooru rikiishi continu challeng rikiishi fight joe knock time time due savag brawl style fail face rikiishi control box techniqu eventu joe stun rival knockout blow earn rikiishi respect promis one day meet insid profession ring find reason live within box joe take life head new purpos rise japan amateur profession box scene contend pain loss increas injuri joe passion fight consum grappl idea life without box may one worth live,194,5365,16519,809,25990,5.0
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,16,8.91,25,28413,2015,consid geniu due highest grade countri miyuki shirogan lead prestigi shuchiin academi student council presid work alongsid beauti wealthi vice presid kaguya shinomiya two often regard perfect coupl student despit sort romant relationship howev truth spend much time togeth two develop feel one anoth unfortun neither will confess would sign weak pride elit student line miyuki kaguya embark quest whatev necessari get confess daili antic battl love begin,225,122757,60830,5494,60632,3.0
Yotsuba to!,17,8.89,71,15934,2003,peopl find world mundan five year old yotsuba koiwai see treasur trove amaz bustl wonder place explor adopt father yousuk move new citi energet young girl natur set investig neighborhood incid local park koiwai becom acquaint neighbor ayas famili three daughter mischiev colleg student asagi respons high school student fuuka kindheart grade school student ena eventu take like yotsuba join antic despit sheer ridicul learn use swing figur stop global warm air condition yotsuba abil infal find fun everyth amaz annoy peopl around along yousuk ayas friend make along way yotsuba embark daili adventur one step quest enjoy simpl thing life,84,69295,7307,3856,54002,3.0
GTO,18,8.88,54,11195,1996,22 year old eikichi onizuka pervert former gang member teacher great teacher onizuka follow incred though often ridicul antic titular teacher attempt outwit win cun class 3 4 determin remov school howev obstacl present throughout includ frustrat bald vice princip hiroshi uchiyamada old enemi biker day idiot teach method eikichi fight whilst tri help student romanc fellow teacher azusa fuyutsuki earn self proclaim titl,194,22730,65793,3471,64966,3.0
3-gatsu no Lion,19,8.88,227,4026,2007,rei kiriyama extraordinari shogi player among elit gone profession middl school student consid geniu lie behind prodigi facad teenag boy suffer immens pressur famili high expect shogi commun rei move live independ life away famili unorgan lifestyl unsoci person show sign improv howev twist fate prove turn point life rei encount kawamoto sister motherli akari passion hinata energet momo take great care 3 gatsu lion tell stori rei reshap melanchol life pick courag begin face problem evad past,221,27068,2096,1325,30648,3.0
Koe no Katachi,20,8.86,23,22236,2013,shouya ishida mischiev elementari school student find troubl deaf transfer student shouko nishimiya despit genuin attempt befriend new classmat shouko prove annoy shouya friend provok ridicul possibl chanc soon enough taunt turn constant assault yet teacher heartlessli remain apathet situat shouya misde final stop shouko transfer anoth school deni involv entir class put blame shouya new victim bulli shouya gradual becom meek reclus treat contempt disregard year come high school student shouya meet shouko first time five year still torment past action shouya determin make amend mistak confront trauma even must face arduou obstacl along way,194,27655,164996,2420,63835,3.0
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,21,8.85,1123,1474,2012,last episod umineko naku koro ni featur scenario ang present famili 1986 confer attempt uncov heart mysteri conclud long fought struggl mysteri fantasi sourc wikipedia,102,1240,6796,145,7550,8.0
Haikyuu!!,22,8.85,34,17976,2012,whistl blow ball dig set spike volleybal sport two team face separ formid wall like net littl giant stand 170 cm overcom tower net wall blocker awe inspir shouyou hinata look ace crow like figur determin reach great height like littl giant small statur hinata final manag form team last year junior high school enter first volleybal tournament howev team utterli defeat first game powerhous school kitagawa daiichi led geniu oppress setter dub king court tobio kageyama hinata enrol karasuno high school seek take reveng kageyama offici high school match follow littl giant footstep plan ruin open gymnasium door find kageyama one teammat hinata must establish team work alongsid problemat kageyama overcom shortcom fulfil dream make top high school volleybal world,189,68041,82463,4843,44097,3.0
Kaze no Tani no Nausicaä,23,8.82,279,3397,1982,human technolog advanc thrive civil push brink extinct follow cataclysm war known seven day fire remnant human race live scatter kingdom avoid unrel spread sea corrupt coloss forest infest danger mutant insect fungi produc poison spore nausica sole heir throne agricultur kingdom valley wind thrust war alli kingdom imperialist torumekia invad dorok empir forc fight alongsid torumekian militari cun princess kushana nausica wit firsthand horror war effect human environ uncanni charisma gentl natur nausica may hope human ongo war sea corrupt hasten extinct mankind set backdrop devast world kaze tani nausica depict aftermath human folli immort power natur,5,4947,17771,708,31362,3.0
Akatsuki no Yona,24,8.82,82,13858,2009,upon time kingdom kouka rule red dragon human form side four warrior imbu dragon blood help lead kingdom prosper time pas tale becam legend tell child sole princess kouka yona live life lavish ea love cousin su protect bodyguard son hak want noth remain shelter harrow realiti outsid castl wall contrari peac illus kouka undergo polit upheav belov su stage bloodi coup murder father yona forc flee hak side though surround enemi side banish princess still yearn save kingdom solut come exil priest tell hope find four legendari dragon warrior guid seemingli fictiti myth yona set find warrior determin restor kingdom,117,72968,4137,3207,41127,10.0
Nana,25,8.79,78,11192,2000,nana komatsu naiv unmotiv girl spend high school day chase one crush despit continu face failur quest love spirit never dampen age 20 find train tokyo hope reunit current boyfriend nana osaki hand feisti pride join local band high school day fall love music one band member howev face choic relationship music career choos latter separ boyfriend 20th birthday board train tokyo like namesak aim becom top vocalist two girl name differ aspir find sit togeth journey citi fate would eventu share apart deep uniqu bond forg support saga love music friendship heartbreak,77,29526,30410,4303,59428,3.0
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",26,8.78,60,13410,2016,helpless struggl cash 20 year old kusunoki sell last posse buy food notic poverti old shop owner direct store supposedli purchas lifespan time health complet believ man word kusunoki nevertheless find address desper curio kusunoki crush find true monetari valu lifespan total meager three hundr thousand yen decid sell next 30 year life ten thousand yen per year kusunoki left three month live head home money greet unexpect visitor store clerk sold lifespan introduc miyagi one task job observ last three day life jumyou wo kaitott moratta ichinen ni tsuki ichimanen de follow remain three month kusunoki life confront linger regret past discov truli give life valu,191,9729,97439,574,49849,14.0
Made in Abyss,27,8.77,63,10182,2012,abyss hole unpreced depth one young girl robot brave danger find truth town orth special one built around edg massiv abyss wonder never fulli explor ventur far never return brave enough travers territori known cave raider herald legend within town live young girl call riko child one famou cave raider time disappear expedit mani year ago one day riko life chang meet strang robot call reg seem appear within abyss believ sign mother stuck bottom abyss riko descend depth reg readi confront danger within,215,76681,8176,4094,56954,9.0
Uchuu Kyoudai,28,8.77,486,1441,2007,big brother must alway stay ahead younger brother respons older sibl word alway motiv mutta nanba tri best came younger brother hibito natur summer 2006 nanba brother wit someth strang night sky hibito declar would becom astronaut travel moon mutta counter affirm would go mar promis made 2025 hibito work nasa prepar becom first japanes land moon mutta fire job automot develop compani difficulti find anoth job mutta given lifetim opportun receiv letter jaxa japan aerospac explor agenc tell accept particip next astronaut select fate given chanc fulfil promis made year ago mutta undertak difficult challeng go space,161,10955,997,666,19380,3.0
One Punch-Man,29,8.75,6,38154,2012,rigor train three year ordinari saitama gain immens strength allow take anyon anyth one punch decid put new skill good use becom hero howev quickli becom bore easili defeat monster want someon give challeng bring back spark hero upon bear wit saitama amaz power geno cyborg determin becom saitama apprentic time saitama realiz neither get recognit deserv known peopl due part hero associ want boost reput saitama decid geno regist exchang take pupil togeth two begin work way toward becom true hero hope find strong enemi earn respect process,209,328243,22793,11299,70349,16.0
Chainsaw Man,30,8.74,4,79658,2018,denji simpl dream live happi peac life spend time girl like far cri realiti howev denji forc yakuza kill devil order pay crush debt use pet devil pochita weapon readi anyth bit cash unfortun outliv use murder devil contract yakuza howev unexpect turn event pochita merg denji dead bodi grant power chainsaw devil abl transform part bodi chainsaw reviv denji use new abil quickli brutal dispatch enemi catch eye offici devil hunter arriv scene offer work public safeti bureau one mean face even toughest enemi denji stop noth achiev simpl teenag dream,191,278285,215245,8280,65495,3.0
Kokou no Hito,31,8.74,135,5462,2007,pain arduou effort one reach top world stand man ever set foot exhilar feel success mori buntar train work live climb top start transfer new high school despit lonesom solitari natur mori classmat persuad climb school build without har hesit begin scale reach top edg past point return halt face final intimid obstacl horizont overhang adrenalin cours mori jump final hold summit cast eye upon someth normal would seen anoth peak anoth goal awaken passion newfound purpos life mori explor breathtak sport rock climb,225,13009,29697,1464,50572,5.0
Hunter x Hunter,32,8.73,24,23199,1998,secret treasur hoard undiscov wealth mystic place unexplor frontier mysteri unknown magic word captiv spell call hunter gon freecss want becom hunter find father man abandon pursu life adventur simpl one one hundr thousand pas hunter exam first obstacl journey hunter exam gon befriend mani potenti hunter mysteri killua reveng driven kurapika leorio aim becom doctor world adventur peril await embrac open arm becom greatest hunter,189,141036,23222,8696,56516,10.0
Hajime no Ippo,33,8.72,169,6620,1989,makunouchi ippo 16 year old high school student help mother run famili busi hefti workload imped social life make easi target bulli one day beaten group high school student ippo save boxer name mamoru takamura brought kamogawa box gym afterschool bulli session turn life around better ippo discov latent talent box decid practic sport profession howev mamoru doubt ippo determin assign task deem imposs complet resolut ippo train tirelessli fulfil mission along way find mean attain true strength make new friend fight formid foe,194,46409,3498,2908,23373,3.0
Mushishi,34,8.72,179,2819,1999,mushi basic form life world exist without goal purpos asid simpli beyond shackl word good evil mushi exist countless form capabl mimick thing natur world plant diseas even phenomenon like rainbow howev vagu definit entiti inhabit vibrant world mushishi even call form life would oversimplif detail inform mushi scarc major human unawar exist mushi exist question mushishi ginko ponder constantli mushishi research mushi hope understand place world hierarchi life ginko relentlessli chase rumor occurr could tie mushi sake find answer could lead mean life,2,10532,18291,1421,47421,3.0
Shoujo Shuumatsu Ryokou,35,8.7,235,5690,2014,amidst post apocalypt world chito yuuri seem final survivor war brought civil demis longer place live girl roam around citi half track motorcycl ever search resourc sustain vagabond lifestyl despit bleak futur ahead duo still find way entertain throughout melanchol journey shoujo shuumatsu ryokou take place barren world harsh winter season happi go lucki yuuri seriou chito hopelessli search sign civil expedit may fact becom human last tour,133,7400,27724,590,27650,3.0
Kono Oto Tomare!,36,8.69,400,2480,2012,follow graduat everi member koto music club takez kurata left alon new club presid burden arduou task rebuild membership struggl recruit anyon due lack interest kurata lost nearli hope keep club aliv fear delinqu chika kudou appear claim join becom club presid first kurata refus admit troublesom person awar dark rumor circul kudou howev discov vulner side kudou mysteri connect club kurata rethink decis soon defunct club save help koto prodigi satowa houzuki use charm recruit kudou live friend saneyasu adachi michitaka sakai kouta mizuhara suffici number retain club statu houzuki declar aim becom best koto player nation much kurata dismay ragtag bunch young musician road fill challeng advers ahead overcom fear differ aspir may well come true,127,19211,1040,760,17763,14.0
Death Note,37,8.69,12,31615,2003,ryuk god death drop death note human world person pleasur japan prodigi high school student light yagami stumbl upon insid notebook find chill messag whose name written shall die nonsens natur amus light test power write name crimin suddenli meet demis realiz death note vast potenti light commenc seri nefari murder pseudonym kira vow clean world corrupt individu creat perfect societi crime ceas exist howev polic quickli catch enlist help l mastermind detect uncov culprit death note tell thrill tale light l clash great battl mind one determin futur world,189,53642,242154,12950,59668,4.0
Beck,38,8.69,192,4855,2000,yukio koyuki tanaka wast away middl school day listen japanes pop music apathet trudg life casual run enigmat guitarist ryuusuk ray minami encount koyuki realiz miss time ray introduc western rock music jumpstart desir play guitar although variou struggl plagu path rock fame koyuki refus abandon passion gave life purpos balanc togeth school work friend beck tell stori love trial accompani pursu profession career music koyuki ray work toward realiz guitarist dream ultim band,193,8233,28534,1576,35490,3.0
Yokohama Kaidashi Kikou,39,8.68,205,5051,1994,post apocalypt world environment disast led erupt mt fuji inund yokohama age human twilight alpha hatsuseno android namesak small cafe outsid yokohama owner away trip indefinit left respons run cafe although rare get custom alpha remain outgo cheer alpha await owner homecom explor vicin scooter camera throughout journey meet new peopl android make memori along way yokohama kaidashi kikou beauti laid back stori center around alpha daili activ emphas pas time everyday life,2,8941,18102,1000,41826,3.0
Akira,40,8.68,88,6458,1982,1988 world war iii tokyo decim mysteri black explos unmatch magnitud 2019 fast forward 31 year neo tokyo hastili built ruin old tokyo sprawl cityscap neon extravaganza fusion tower skyscrap cut edg technolog permeat explos hyper violent cocktail biker gang poverti revolutionari derelict metropoli live tetsuo shima shoutar kaneda two biker best friend fiercest rival despit affili gang desper prove kaneda equal tetsuo unwittingli pull stunt culmin awaken cryptic exist threaten chang face neo tokyo live call citi home awaken govern secret simpli known akira,230,14315,45503,1492,62337,3.0
Dorohedoro,41,8.68,51,12923,2000,hole dark decrepit disorderli district strong prey weak death ordinari occurr befit name given realm separ law ethic test ground magic user domin race occupi highest rung societi magic user think denizen hole insect murder mutil made experi without second thought powerless hole dweller litter hall hole hospit daili basi posse free access cesspool littl challeng author magic user appear indomit asid caiman reptil man one individu hunt heedless quest answer trust pair bayonet immun magic cur appear torment nightmar magic user clue restor life normal biggest obstacl stomach femal companion nikaid run restaur hungri bug greatest alli set gritti world hellish design dorohedoro manag healthi blend comedi lighthearted death carnag take plenti twist turn follow live hole resid weav uniqu world unearthli origin dreari appear squeamish easili disturb,110,35582,45919,3035,75316,7.0
Sousou no Frieren,42,8.68,134,5147,2020,demon king defeat victori hero parti return home disband four mage frieren hero himmel priest heiter warrior eisen reminisc decad long journey moment bid farewel arriv pas time differ elv thu frieren wit companion slowli pas away one one death heiter manag foist young human apprentic call fern onto frieren driven elf passion collect myriad magic spell pair embark seemingli aimless journey revisit place hero yore visit along travel frieren slowli confront regret miss opportun form deeper bond deceas comrad,197,51457,1207,1593,39843,3.0
Sayonara Eri,43,8.68,124,5328,2022,suffer termin ill yuuta mother ask film last moment radiant smile famili time sick ravag bodi hospit record hour upon hour footag pas yuuta compil life movi screen school decid add bit fantasi end film dead explos mother liter explos follow backlash caus supposedli tone deaf portray mother death yuuta trudg hospit roof take life meet girl name eri captiv film eri request yuuta make new one blow previou water prove critic wrong movi set make stand apart blur line fact fiction cours yuuta film person flavor dash fantasi,191,3594,79628,68,20256,14.0
Yagate Kimi ni Naru,44,8.67,128,9584,2015,yuu koito alway enjoy romanc manga love song cling hope one day experi love stori one sweep foot make heart flutter howev realiti often disappoint classmat junior high confess feel yuu find feel noth unabl give answer becom convinc unabl fall love one day way student council room yuu encount council presid touko nanami turn confess boy inspir touko confid yuu turn help touko becom next person confess yuu confus yet heart set aflutt yagat kimi ni naru manga grappl love grow yuu long await romanc final begin,84,16904,47232,1425,32815,6.0
Kozure Ookami,45,8.66,354,1545,1970,ittou ogami littl left live though shogun chief execution name left ruin frame treason treacher yagyuu clan seek steal posit power misfortun end howev culmin brutal murder entir famili includ wife azami child daigor still left aliv dishonor upon head belov wife grave ittou take new mantl assassin hire alongsid young son ittou wander countri search reveng complet destruct yagyuu clan mind travel land number success assassin quickli grow soon monik lone wolf cub becom infam across land choic assassin get job done right,144,4755,6026,792,32082,16.0
Natsume Yuujinchou,46,8.66,375,2167,2003,takashi natsum 15 year old boy want noth live normal life like everyon el dismay like deceas grandmoth reiko posse abil see youkai spirit natsum eventu discov reiko bequeath book contract bound youkai book friend howev without reiko ever call upon spirit name left confin state spirit continu pursu natsum hope contract dissolv freedom may gentl harmless spirit come natsum help also malici hostil spirit threaten madara step spirit disguis rotund cat commonli refer nyanko sensei natsum madara self proclaim bodyguard motiv accompani natsum natsum yuujinch supernatur slice life seri boy struggl live normal life balanc spirit human world acquir import life lesson along way,135,16231,1269,1095,21161,12.0
Bungou Stray Dogs: Beast,47,8.65,1428,693,2019,ryuunosuk akutagawa live slum use abil beat anyon dare lay finger sister gin friend life take turn wors arm crimin come gang kill process attempt aveng friend akutagawa find verg death mysteri man dress black greet say take care sister akutagawa readi challeng four year pas still sign man black gin even akutagawa refus give search sakunosuk oda take piti live condit invit becom member arm detect agenc opportun aris akutagawa final get lead gin whereabout unbeknownst howev gin guard none port mafia wick leader osamu dazai successor atsushi nakajima infam white reaper save sister akutagawa must overcom weak sacrific,184,3361,4208,143,5083,12.0
ReLIFE,48,8.65,61,12077,2013,respons adult ugli side corpor bulli betray one childhood dream mani would wish return innoc childhood reliv life make right decis dumbfound offer present 27 year old arata kaizaki hope turn life around lifetim opportun return home part time job arata persuad ryou yoak employe relif research institut particip experi help overcom difficulti enter corpor life part relif experi arata physiqu revert 17 year old must reliv high school life one year wait end experi job offer struggl get ever sinc left first compani option decid go along plan howev adult like tendenc mani year sinc last formal educ arata step unexpectedli challeng territori normal day high school,237,33604,77540,3825,38128,11.0
Golden Kamuy,49,8.64,153,5157,2014,saichi sugimoto fear immort sugimoto savageri battlefield russo japanes war mean war hero sugimoto left fend releas armi nearli kill superior offic brave rough terrain hokkaido sugimoto search gold order keep promis lost brother arm effort fruitless long time mysteri travel tell urban legend would rid troubl accord legend crimin stole gold ainu indigen peopl hokkaido hid away locat found map made piec parchment tattoo skin escap convict brought togeth upon meet young ainu girl asirpa sugimoto set search tattoo prison mani danger await soldier mercenari seek gold well aid asirpa knowledg land two depart find stolen ainu gold journey reveng murder greed,225,27841,11344,2251,41354,3.0
Blue Period,50,8.64,98,8205,2017,second year high school student yatora yaguchi bore normal life studi well play around friend truth enjoy either activ bound norm secretli envi thing differ discov joy draw see paint made member art club yatora becom fascin color use later art exercis tri convey languag without word instead paint experi yatora find invest art decid want live stand multipl obstacl way parent hesit uniqu choic experienc peer studi subject much deeper initi expect,2,56746,3133,3140,47448,3.0
"""Oshi no Ko""",51,8.63,57,12790,2020,sixteen year old ai hoshino talent beauti idol ador fan personif pure young maiden glitter gold gorou amemiya countrysid gynecologist big fan ai pregnant idol show hospit beyond bewild gorou promis safe deliveri littl know encount mysteri figur would result untim death thought open eye lap belov idol gorou find reborn aquamarin hoshino ai newborn son world turn upsid gorou soon learn world showbiz pave thorn talent alway beget success manag protect ai smile love much help eccentr unexpect alli,225,104855,3598,3714,42659,12.0
Gintama,52,8.63,144,8271,2003,edo period japan suddenli invad alien creatur known amanto despit samurai attempt combat extraterrestri menac shogun soon realiz effort futil decid surrend mark begin uneasi agreement shogun amanto one result countrywid sword ban disappear samurai spirit howev exist one eccentr individu wield wooden sword refus let samurai statu die kind longer need gintoki sakata perform variou odd job around town order make end meet join self proclaim discipl shinpachi shimura fearsom alien kagura giant dog name sadaharu run busi known yorozuya often get caught sort crazi hilari shenanigan,189,29912,21973,4043,28463,9.0
Aria,53,8.63,448,2554,2002,distant futur human terraform mar ocean planet suit need known aqua planet serv new home peopl discont live manhom planet formerli known earth perfect imit manhom venic town neo venezia inherit rustic charm origin gondola weav way waterway dreami town nostalg alley await travel foot akari mizunashi young manhom nativ recent made neo venezia new home pursu dream becom gondoli tour guid undin akari join aria compani one renown water guid compani town bask simpl lifestyl unavail manhom akari cheerili ambl daili life neo venezia town magic miracl abound,43,4353,9701,928,20351,9.0
Pluto,54,8.63,103,5305,2003,famou militari servic 39th asian war legendari swiss robot montblanc violent murder human robot around world mourn belov celebr montblanc popular grew year follow war thank dedic natur conserv love person fellow war veteran robot europol detect gesicht sent investig montblanc tragic demis pursuit gesicht uncov evid mysteri entiti known pluto also learn conspiratori plot dismantl eight special robot around world particip war race time save still remain gesicht grappl memori moral world full hate desper attempt defend fragil coexist man machin,19,10088,47131,866,55482,3.0
Mob Psycho 100,55,8.62,109,5607,2012,shigeo mob kageyama eighth grade student bless extraordinari psychic power howev mob decid suppress abil public due destruct conspicu natur keep psychic power hone work arataka reigen self proclaim esper look make use mob skill alongsid reigen mob spend day exorcis evil spirit reigen behest simpl wish impress childhood friend tsubomi takan mob work toward make desir troubl keep bombard daili life slowli break shackl feel repress emot well tell happen reach limit,157,24304,42652,2176,38493,3.0
Veil,56,8.62,2730,363,2019,entir color manga represent small moment life two protagonist polic offic blind woman,6,2698,368,67,3771,11.0
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",57,8.61,680,848,2017,toranosuk ibuki wife kaoru n e okouchi devotedli love seem like entir live twenti year later toranosuk bedridden hospit still love persever togeth infatu coupl reminisc day gone propos first met relationship around bliss marri life though toranosuk alway bit hard head kaoru bit short temper immens love shown wrinkl age skin unbridl devot eye strong know love devot even next life,109,3820,9492,380,11234,18.0
Banana Fish,58,8.61,289,2304,1985,ash lynx beauti geniu murder sinc childhood care dino papa golzin mafia bos turn ruthless killer first ash pretti face golzin pleasur estrang 17 year old ash run gang iron fist eiji okumura young japanes photograph travel new york assist eiji set work report kid live street meet teenag gang leader ash mesmer boy turn curiou eiji differ lifestyl dark underground new york recent seri murder surfac citi connect word banana fish person stake mysteri battl ash eiji alli discov exactli banana fish came get rid world know descend chao,17,7323,14726,1038,29403,10.0
